InvoiceID,OrderID,InvoiceDate,DueDate,SubTotal,Tax,TotalAmount,PaymentTerms,InvoiceStatus
INV00001,ORD00001,19-09-2022,04-10-2022,126870.8,22836.74,149707.54,Net 15,Paid
INV00002,ORD00002,26-09-2022,11-10-2022,192317.7,34617.19,226934.89,Net 15,Paid
INV00003,ORD00003,30-09-2022,15-10-2022,29572.45,5323.04,34895.49,Net 15,Pending
INV00004,ORD00004,29-09-2022,14-10-2022,268261.95,48287.15,316549.1,Net 15,Paid
INV00005,ORD00005,19-09-2022,04-10-2022,9842.2,1771.6,11613.8,Net 15,Paid
INV00006,ORD00006,22-09-2022,06-11-2022,60739.2,10933.06,71672.26,Net 45,Pending
INV00007,ORD00007,10-09-2022,25-09-2022,113238,20382.84,133620.84,Net 15,Pending
INV00008,ORD00008,11-09-2022,26-10-2022,128758,23176.44,151934.44,Net 45,Paid
INV00009,ORD00009,21-09-2022,05-11-2022,162450.55,29241.1,191691.65,Net 45,Paid
INV00010,ORD00010,02-10-2022,17-10-2022,169748.75,30554.77,200303.52,Net 15,Pending
INV00011,ORD00011,10-10-2022,09-11-2022,147665.1,26579.72,174244.82,Net 30,Paid
INV00012,ORD00012,04-09-2022,19-09-2022,135794.8,24443.06,160237.86,Net 15,Paid
INV00013,ORD00013,25-10-2022,24-11-2022,299132.05,53843.77,352975.82,Net 30,Pending
INV00014,ORD00014,24-09-2022,24-10-2022,176961.9,31853.14,208815.04,Net 30,Pending
INV00015,ORD00015,02-10-2022,01-11-2022,67035.15,12066.33,79101.48,Net 30,Paid
INV00016,ORD00016,25-09-2022,10-10-2022,222622.1,40071.98,262694.08,Net 15,Paid
INV00017,ORD00017,29-09-2022,13-11-2022,203833.95,36690.11,240524.06,Net 45,Overdue
INV00018,ORD00018,10-09-2022,25-10-2022,248910.3,44803.85,293714.15,Net 45,Paid
INV00019,ORD00019,11-09-2022,26-09-2022,156396.6,28151.39,184547.99,Net 15,Pending
INV00020,ORD00020,13-10-2022,28-10-2022,111554,20079.72,131633.72,Net 15,Overdue
INV00021,ORD00021,04-10-2022,03-11-2022,185469.1,33384.44,218853.54,Net 30,Paid
INV00022,ORD00022,27-09-2022,27-10-2022,140072.65,25213.08,165285.73,Net 30,Paid
INV00023,ORD00023,06-10-2022,21-10-2022,49067.85,8832.21,57900.06,Net 15,Pending
INV00024,ORD00024,31-08-2022,15-10-2022,122196.6,21995.39,144191.99,Net 45,Pending
INV00025,ORD00025,03-10-2022,17-11-2022,129526.45,23314.76,152841.21,Net 45,Paid
INV00026,ORD00026,02-10-2022,17-10-2022,95916.6,17264.99,113181.59,Net 15,Paid
INV00027,ORD00027,28-09-2022,28-10-2022,72239.4,13003.09,85242.49,Net 30,Overdue
INV00028,ORD00028,03-10-2022,17-11-2022,136042.15,24487.59,160529.74,Net 45,Paid
INV00029,ORD00029,30-09-2022,30-10-2022,47811.35,8606.04,56417.39,Net 30,Pending
INV00030,ORD00030,25-09-2022,10-10-2022,208930.1,37607.42,246537.52,Net 15,Pending
INV00031,ORD00031,15-09-2022,15-10-2022,17123.9,3082.3,20206.2,Net 30,Paid
INV00032,ORD00032,09-10-2022,23-11-2022,242028,43565.04,285593.04,Net 45,Overdue
INV00033,ORD00033,11-10-2022,26-10-2022,267366.3,48125.93,315492.23,Net 15,Pending
INV00034,ORD00034,12-07-2024,26-08-2024,188739.25,33973.07,222712.32,Net 45,Paid
INV00035,ORD00035,27-06-2024,12-07-2024,240316.2,43256.92,283573.12,Net 15,Paid
INV00036,ORD00036,08-06-2024,23-07-2024,61619.55,11091.52,72711.07,Net 45,Paid
INV00037,ORD00037,11-06-2024,11-07-2024,215999.6,38879.93,254879.53,Net 30,Overdue
INV00038,ORD00038,15-07-2024,14-08-2024,266466.5,47963.97,314430.47,Net 30,Paid
INV00039,ORD00039,20-06-2024,04-08-2024,87254.45,15705.8,102960.25,Net 45,Paid
INV00040,ORD00040,19-06-2024,04-07-2024,96630.95,17393.57,114024.52,Net 15,Paid
INV00041,ORD00041,11-06-2024,26-07-2024,115794.65,20843.04,136637.69,Net 45,Paid
INV00042,ORD00042,23-06-2024,23-07-2024,109323.6,19678.25,129001.85,Net 30,Paid
INV00043,ORD00043,02-06-2024,17-07-2024,36391.8,6550.52,42942.32,Net 45,Paid
INV00044,ORD00044,01-06-2024,16-06-2024,206737.1,37212.68,243949.78,Net 15,Pending
INV00045,ORD00045,21-06-2024,05-08-2024,279159.75,50248.75,329408.5,Net 45,Overdue
INV00046,ORD00046,19-06-2024,03-08-2024,165286.85,29751.63,195038.48,Net 45,Paid
INV00047,ORD00047,03-07-2024,02-08-2024,39676.2,7141.72,46817.92,Net 30,Paid
INV00048,ORD00048,30-05-2024,14-07-2024,247662.25,44579.21,292241.46,Net 45,Overdue
INV00049,ORD00049,20-06-2024,04-08-2024,212287.5,38211.75,250499.25,Net 45,Pending
INV00050,ORD00050,22-07-2024,06-08-2024,226557.65,40780.38,267338.03,Net 15,Overdue
INV00051,ORD00051,01-07-2024,15-08-2024,58254.95,10485.89,68740.84,Net 45,Paid
INV00052,ORD00052,06-07-2024,21-07-2024,249658.95,44938.61,294597.56,Net 15,Paid
INV00053,ORD00053,09-06-2024,24-07-2024,253746,45674.28,299420.28,Net 45,Overdue
INV00054,ORD00054,11-07-2024,26-07-2024,29401,5292.18,34693.18,Net 15,Paid
INV00055,ORD00055,28-11-2024,13-12-2024,262586.35,47265.54,309851.89,Net 15,Paid
INV00056,ORD00056,01-01-2025,31-01-2025,127519.45,22953.5,150472.95,Net 30,Paid
INV00057,ORD00057,08-08-2024,22-09-2024,207415.9,37334.86,244750.76,Net 45,Overdue
INV00058,ORD00058,10-08-2024,24-09-2024,108174.4,19471.39,127645.79,Net 45,Paid
INV00059,ORD00059,05-08-2024,19-09-2024,159394.3,28690.97,188085.27,Net 45,Pending
