OrderID,QuoteID,AccountID,OrderDate,OrderAmount,ShippingMethod,OrderStatus
ORD00001,QTN00003,ACC01019,2022-09-16,126870.8,Standard,Processing
ORD00002,QTN00004,ACC02841,2022-09-24,192317.7,Express,Processing
ORD00003,QTN00006,ACC03607,2022-09-27,29572.45,Standard,Delivered
ORD00004,QTN00008,ACC04599,2022-09-26,268261.95,Overnight,Delivered
ORD00005,QTN00009,ACC02256,2022-09-18,9842.2,Standard,Delivered
ORD00006,QTN00013,ACC03835,2022-09-21,60739.2,Standard,Processing
ORD00007,QTN00014,ACC01479,2022-09-07,113238.0,Standard,Processing
ORD00008,QTN00015,ACC00771,2022-09-08,128758.0,Overnight,Processing
ORD00009,QTN00016,ACC02585,2022-09-19,162450.55,Standard,Delivered
ORD00010,QTN00019,ACC04212,2022-10-01,169748.75,Overnight,Delivered
ORD00011,QTN00020,ACC00102,2022-10-08,147665.1,Standard,Shipped
ORD00012,QTN00022,ACC00719,2022-09-02,135794.8,Express,Processing
ORD00013,QTN00023,ACC01917,2022-10-24,299132.05,Standard,Delivered
ORD00014,QTN00026,ACC03909,2022-09-21,176961.9,Express,Shipped
ORD00015,QTN00028,ACC01604,2022-09-29,67035.15,Standard,Shipped
ORD00016,QTN00031,ACC02558,2022-09-23,222622.1,Standard,Shipped
ORD00017,QTN00033,ACC03684,2022-09-26,203833.95,Express,Shipped
ORD00018,QTN00034,ACC03787,2022-09-08,248910.3,Express,Processing
ORD00019,QTN00038,ACC02975,2022-09-10,156396.6,Express,Delivered
ORD00020,QTN00039,ACC04811,2022-10-11,111554.0,Express,Processing
ORD00021,QTN00041,ACC04991,2022-10-03,185469.1,Express,Delivered
ORD00022,QTN00042,ACC02851,2022-09-24,140072.65,Express,Delivered
ORD00023,QTN00046,ACC02922,2022-10-04,49067.85,Overnight,Processing
ORD00024,QTN00047,ACC01086,2022-08-28,122196.6,Overnight,Processing
ORD00025,QTN00049,ACC02302,2022-09-30,129526.45,Express,Processing
ORD00026,QTN00050,ACC03472,2022-09-29,95916.6,Standard,Processing
ORD00027,QTN00058,ACC02709,2022-09-26,72239.4,Express,Shipped
ORD00028,QTN00059,ACC04872,2022-09-30,136042.15,Express,Processing
ORD00029,QTN00062,ACC03188,2022-09-27,47811.35,Express,Processing
ORD00030,QTN00063,ACC04918,2022-09-24,208930.1,Express,Delivered
ORD00031,QTN00066,ACC03239,2022-09-13,17123.9,Overnight,Processing
ORD00032,QTN00067,ACC03528,2022-10-08,242028.0,Overnight,Processing
ORD00033,QTN00071,ACC03955,2022-10-09,267366.3,Overnight,Processing
