PaymentID,InvoiceID,PaymentDate,PaymentMethod,AmountPaid,BalanceAmount,PaymentStatus
PAY00001,INV00001,2022-09-20,Debit Card,149707.54,0.0,Paid
PAY00002,INV00002,2022-10-01,Bank Transfer,226934.89,0.0,Paid
PAY00003,INV00003,2022-10-18,Bank Transfer,34895.49,0.0,Paid
PAY00004,INV00004,2022-10-01,Bank Transfer,316549.1,0.0,Paid
PAY00005,INV00005,2022-09-27,Cheque,11613.8,0.0,Paid
PAY00006,INV00006,2022-10-10,Credit Card,71672.26,0.0,Paid
PAY00007,INV00007,2022-09-24,Credit Card,96313.23,37307.61,Partial
PAY00008,INV00008,2022-09-20,Bank Transfer,151934.44,0.0,Paid
PAY00009,INV00009,2022-10-05,Debit Card,75870.71,115820.94,Partial
PAY00010,INV00010,2022-10-09,Debit Card,200303.52,0.0,Paid
PAY00011,INV00011,2022-10-23,Bank Transfer,174244.82,0.0,Paid
PAY00012,INV00012,2022-09-16,Cheque,160237.86,0.0,Paid
PAY00013,INV00013,2022-10-27,UPI,352975.82,0.0,Paid
PAY00014,INV00014,2022-10-07,Bank Transfer,208815.04,0.0,Paid
PAY00015,INV00015,2022-10-22,Debit Card,79101.48,0.0,Paid
PAY00016,INV00016,2022-09-28,Bank Transfer,262694.08,0.0,Paid
PAY00017,INV00017,2022-10-09,Bank Transfer,240524.06,0.0,Paid
PAY00018,INV00018,2022-09-23,Debit Card,240813.35,52900.8,Partial
PAY00019,INV00019,2022-09-23,Credit Card,184547.99,0.0,Paid
PAY00020,INV00020,2022-10-20,Debit Card,131633.72,0.0,Paid
PAY00021,INV00021,2022-10-07,Cheque,155414.16,63439.38,Partial
PAY00022,INV00022,2022-10-15,Credit Card,165285.73,0.0,Paid
PAY00023,INV00023,2022-10-19,Debit Card,57900.06,0.0,Paid
PAY00024,INV00024,,Cheque,0.0,144191.99,Pending
PAY00025,INV00025,2022-10-14,Bank Transfer,152841.21,0.0,Paid
PAY00026,INV00026,2022-10-04,Debit Card,113181.59,0.0,Paid
PAY00027,INV00027,2022-10-01,Credit Card,85242.49,0.0,Paid
PAY00028,INV00028,,Cheque,0.0,160529.74,Pending
PAY00029,INV00029,2022-10-16,UPI,27577.2,28840.19,Partial
PAY00030,INV00030,2022-09-30,Debit Card,169053.52,77484.0,Partial
PAY00031,INV00031,2022-10-03,Cheque,20206.2,0.0,Paid
PAY00032,INV00032,2022-10-28,UPI,285593.04,0.0,Paid
PAY00033,INV00033,2022-10-19,Credit Card,170252.32,145239.91,Partial
PAY00034,INV00034,2024-07-15,Bank Transfer,222712.32,0.0,Paid
PAY00035,INV00035,2024-07-03,UPI,111076.95,172496.17,Partial
PAY00036,INV00036,2024-06-21,UPI,72711.07,0.0,Paid
PAY00037,INV00037,2024-06-26,Cheque,254879.53,0.0,Paid
