QuoteItemID,QuoteID,ProductID,Quantity,UnitPrice,DiscountPercent,DiscountAmount,LineTotal
QI000001,QTN00001,PRD0015,204,999,0,0.0,203796.0
QI000002,QTN00002,PRD0017,1,499,5,24.95,474.05
QI000003,QTN00002,PRD0001,1,299,0,0.0,299.0
QI000004,QTN00002,PRD0009,280,149,0,0.0,41720.0
QI000005,QTN00003,PRD0009,2,149,0,0.0,298.0
QI000006,QTN00003,PRD0014,1,1199,0,0.0,1199.0
QI000007,QTN00003,PRD0003,1,999,5,49.95,949.05
QI000008,QTN00003,PRD0008,3,199,0,0.0,597.0
QI000009,QTN00003,PRD0010,655,199,5,6517.25,123827.75
QI000010,QTN00004,PRD0002,2,599,5,59.9,1138.1
QI000011,QTN00004,PRD0001,2,299,10,59.8,538.2
QI000012,QTN00004,PRD0020,1,599,5,29.95,569.05
QI000013,QTN00004,PRD0015,3,999,15,449.55,2547.45
QI000014,QTN00004,PRD0005,139,1499,10,20836.1,187524.9
QI000015,QTN00005,PRD0010,1,199,5,9.95,189.05
QI000016,QTN00005,PRD0011,2,699,0,0.0,1398.0
QI000017,QTN00005,PRD0013,318,899,0,0.0,285882.0
QI000018,QTN00006,PRD0011,1,699,10,69.9,629.1
QI000019,QTN00006,PRD0006,2,249,10,49.8,448.2
QI000020,QTN00006,PRD0020,1,599,15,89.85,509.15
QI000021,QTN00006,PRD0018,14,1999,0,0.0,27986.0
QI000022,QTN00007,PRD0008,1,199,10,19.9,179.1
QI000023,QTN00007,PRD0009,3,149,10,44.7,402.3
QI000024,QTN00007,PRD0020,3,599,5,89.85,1707.15
QI000025,QTN00007,PRD0007,410,499,0,0.0,204590.0
QI000026,QTN00008,PRD0008,1419,199,5,14119.05,268261.95
QI000027,QTN00009,PRD0006,1,249,5,12.45,236.55
QI000028,QTN00009,PRD0008,1,199,15,29.85,169.15
QI000029,QTN00009,PRD0011,15,699,10,1048.5,9436.5
QI000030,QTN00010,PRD0007,3,499,10,149.7,1347.3
QI000031,QTN00010,PRD0002,1,599,10,59.9,539.1
QI000032,QTN00010,PRD0016,2,699,5,69.9,1328.1
QI000033,QTN00010,PRD0008,712,199,10,14168.8,127519.2
QI000034,QTN00011,PRD0016,388,699,5,13560.6,257651.4
QI000035,QTN00012,PRD0005,3,1499,5,224.85,4272.15
QI000036,QTN00012,PRD0011,1,699,15,104.85,594.15
QI000037,QTN00012,PRD0018,2,1999,10,399.8,3598.2
QI000038,QTN00012,PRD0008,3,199,5,29.85,567.15
QI000039,QTN00012,PRD0012,1,399,10,39.9,359.1
QI000040,QTN00013,PRD0015,64,999,5,3196.8,60739.2
QI000041,QTN00014,PRD0011,180,699,10,12582.0,113238.0
QI000042,QTN00015,PRD0012,2,399,0,0.0,798.0
QI000043,QTN00015,PRD0005,1,1499,10,149.9,1349.1
QI000044,QTN00015,PRD0019,1,799,15,119.85,679.15
QI000045,QTN00015,PRD0006,595,249,15,22223.25,125931.75
QI000046,QTN00016,PRD0010,1,199,10,19.9,179.1
