QuoteID,OpportunityID,AccountID,QuoteDate,ExpiryDate,QuoteAmount,DiscountPercent,FinalAmount,Status
QTN00001,OPP00005,ACC04346,2022-10-01,2022-10-31,203461,0,203461.0,Draft
QTN00002,OPP00008,ACC01078,2022-09-17,2022-10-17,42435,5,40313.25,Sent
QTN00003,OPP00009,ACC01019,2022-09-10,2022-10-10,133351,0,133351.0,Accepted
QTN00004,OPP00012,ACC02841,2022-09-18,2022-10-18,212425,0,212425.0,Accepted
QTN00005,OPP00013,ACC00021,2022-09-06,2022-10-06,287579,0,287579.0,Draft
QTN00006,OPP00015,ACC03607,2022-09-25,2022-10-25,29702,0,29702.0,Accepted
QTN00007,OPP00016,ACC03806,2022-09-28,2022-10-28,206728,15,175718.8,Sent
QTN00008,OPP00017,ACC04599,2022-09-25,2022-10-25,282408,10,254167.2,Accepted
QTN00009,OPP00018,ACC02256,2022-09-13,2022-10-13,11019,5,10468.05,Accepted
QTN00010,OPP00019,ACC00023,2022-09-07,2022-10-07,144893,10,130403.7,Sent
QTN00011,OPP00021,ACC00250,2022-09-10,2022-10-10,271161,10,244044.9,Sent
QTN00012,OPP00022,ACC02515,2022-10-02,2022-11-01,5299,0,5299.0,Sent
QTN00013,OPP00023,ACC03835,2022-09-17,2022-10-17,63650,10,57285.0,Accepted
QTN00014,OPP00026,ACC01479,2022-09-06,2022-10-06,125646,15,106799.1,Accepted
QTN00015,OPP00027,ACC00771,2022-09-03,2022-10-03,151002,0,151002.0,Accepted
QTN00016,OPP00029,ACC02585,2022-09-14,2022-10-14,190753,10,171677.7,Accepted
QTN00017,OPP00031,ACC04447,2022-09-15,2022-10-15,268638,0,268638.0,Draft
QTN00018,OPP00032,ACC00580,2022-09-06,2022-10-06,224794,10,202314.6,Rejected
QTN00019,OPP00034,ACC04212,2022-09-25,2022-10-25,169722,5,161235.9,Accepted
QTN00020,OPP00036,ACC00102,2022-10-04,2022-11-03,163606,10,147245.4,Accepted
