TicketID,AccountID,ContactID,AssignedUserID,Category,Priority,Status,CreatedDate,ResolvedDate
TKT00001,ACC00730,CON002169,USR0142,Login Issue,High,Open,2024-10-16,
TKT00002,ACC01088,CON003281,USR0148,Software Bug,Low,In Progress,2023-09-08,
TKT00003,ACC00674,CON002018,USR0101,Performance,Critical,Open,2024-11-23,
TKT00004,ACC01070,CON003224,USR0133,Login Issue,Medium,Open,2023-02-02,
TKT00005,ACC03589,CON010789,USR0180,Performance,Medium,Open,2023-08-27,
TKT00006,ACC04239,CON012731,USR0029,Feature Request,High,Closed,2024-10-27,2024-10-31
TKT00007,ACC00753,CON002231,USR0148,Installation,Critical,In Progress,2023-01-07,
TKT00008,ACC04101,CON012323,USR0148,Software Bug,High,Resolved,2023-12-15,2023-12-18
TKT00009,ACC04729,CON014189,USR0180,Feature Request,Low,Open,2023-04-15,
TKT00010,ACC04933,CON014806,USR0148,Billing,Low,Resolved,2024-01-03,2024-01-13
TKT00011,ACC01221,CON003655,USR0189,Feature Request,Low,Open,2024-04-15,
TKT00012,ACC00793,CON002357,USR0048,Installation,High,Resolved,2024-07-19,2024-08-02
TKT00013,ACC02633,CON007887,USR0142,Installation,Low,In Progress,2024-08-14,
TKT00014,ACC03794,CON011412,USR0029,Configuration,High,In Progress,2023-02-16,
TKT00015,ACC01242,CON003725,USR0101,Configuration,Low,In Progress,2023-03-23,
TKT00016,ACC01616,CON004858,USR0148,Installation,High,Resolved,2024-01-25,2024-02-02
TKT00017,ACC02161,CON006467,USR0061,Software Bug,High,Resolved,2023-06-16,2023-06-22
TKT00018,ACC01321,CON003981,USR0148,Performance,Medium,Open,2024-11-30,
TKT00019,ACC01520,CON004600,USR0142,Software Bug,Critical,In Progress,2024-06-30,
TKT00020,ACC03337,CON010042,USR0189,Installation,Medium,Resolved,2024-01-24,2024-02-08
TKT00021,ACC01155,CON003479,USR0048,Software Bug,Low,Open,2023-11-29,
TKT00022,ACC03546,CON010679,USR0148,Login Issue,Medium,Closed,2023-11-20,2023-11-25
TKT00023,ACC02495,CON007466,USR0189,Installation,Critical,Resolved,2024-08-03,2024-08-07
TKT00024,ACC01619,CON004867,USR0180,Billing,Medium,Closed,2024-02-10,2024-02-13
TKT00025,ACC03882,CON011685,USR0029,Performance,Critical,Resolved,2023-09-10,2023-09-22
TKT00026,ACC03452,CON010389,USR0165,Software Bug,Medium,Closed,2024-08-20,2024-08-26
TKT00027,ACC04381,CON013134,USR0033,Configuration,Low,Closed,2024-06-05,2024-06-07
TKT00028,ACC04344,CON013026,USR0189,Installation,Medium,In Progress,2023-04-23,
TKT00029,ACC00491,CON001469,USR0033,Login Issue,Critical,Closed,2024-11-27,2024-12-07
TKT00030,ACC00988,CON002981,USR0188,Billing,Low,Closed,2024-01-26,2024-02-04
TKT00031,ACC04773,CON014325,USR0179,Installation,High,Open,2024-11-27,
TKT00032,ACC04377,CON013119,USR0165,Billing,Critical,Resolved,2024-10-18,2024-10-20
TKT00033,ACC02691,CON008064,USR0061,Installation,High,Closed,2023-06-11,2023-06-12
TKT00034,ACC00075,CON000213,USR0165,Performance,Low,In Progress,2024-05-27,
TKT00035,ACC01941,CON005783,USR0189,Installation,Medium,Resolved,2024-10-02,2024-10-16
TKT00036,ACC00503,CON001503,USR0033,Software Bug,Low,Resolved,2023-06-06,2023-06-19
TKT00037,ACC03852,CON011585,USR0029,Login Issue,Low,Resolved,2024-09-05,2024-09-13
TKT00038,ACC01945,CON005792,USR0179,Login Issue,Medium,Resolved,2024-01-07,2024-01-11
TKT00039,ACC01648,CON004953,USR0188,Login Issue,Critical,Open,2024-08-03,
TKT00040,ACC03200,CON009613,USR0180,Software Bug,Critical,In Progress,2023-03-12,
TKT00041,ACC04089,CON012294,USR0180,Billing,Critical,In Progress,2024-07-16,
TKT00042,ACC00728,CON002162,USR0048,Installation,High,In Progress,2023-08-05,
TKT00043,ACC04989,CON014979,USR0033,Performance,Critical,Resolved,2024-02-13,2024-02-21
TKT00044,ACC04201,CON012618,USR0180,Software Bug,Low,In Progress,2023-05-04,
TKT00045,ACC04054,CON012190,USR0101,Performance,Medium,Open,2023-12-13,
TKT00046,ACC04550,CON013646,USR0101,Login Issue,Low,In Progress,2024-08-25,
TKT00047,ACC03320,CON009989,USR0133,Software Bug,Low,Open,2024-10-08,
TKT00048,ACC01058,CON003183,USR0165,Performance,Medium,Resolved,2023-02-02,2023-02-04
TKT00049,ACC01668,CON005005,USR0180,Performance,Medium,Closed,2023-10-13,2023-10-17
TKT00050,ACC03865,CON011620,USR0165,Configuration,Critical,Closed,2024-08-07,2024-08-11
TKT00051,ACC00314,CON000959,USR0029,Login Issue,Low,In Progress,2024-02-21,
TKT00052,ACC04909,CON014733,USR0180,Feature Request,Critical,Closed,2024-11-05,2024-11-11
TKT00053,ACC01516,CON004588,USR0029,Installation,Low,Open,2024-04-23,
TKT00054,ACC00678,CON002027,USR0180,Billing,Low,Closed,2023-03-04,2023-03-16
TKT00055,ACC00826,CON002472,USR0179,Software Bug,Critical,In Progress,2023-09-12,
TKT00056,ACC03836,CON011539,USR0189,Billing,Critical,Closed,2023-05-24,2023-05-27
TKT00057,ACC00892,CON002684,USR0179,Feature Request,Low,Open,2023-09-13,
TKT00058,ACC00990,CON002984,USR0148,Login Issue,Medium,Open,2023-02-21,
TKT00059,ACC03693,CON011104,USR0048,Feature Request,Medium,Closed,2023-06-20,2023-06-28
TKT00060,ACC04434,CON013295,USR0133,Software Bug,Critical,Open,2024-02-15,
TKT00061,ACC00130,CON000387,USR0148,Configuration,Critical,Closed,2023-01-03,2023-01-08
TKT00062,ACC03636,CON010924,USR0133,Installation,Critical,Closed,2023-10-20,2023-11-01
TKT00063,ACC03630,CON010905,USR0033,Billing,Medium,In Progress,2023-06-08,
TKT00064,ACC03373,CON010148,USR0165,Installation,High,Open,2023-03-01,
TKT00065,ACC03067,CON009219,USR0188,Performance,Critical,Open,2023-02-28,
TKT00066,ACC03922,CON011801,USR0048,Login Issue,Low,In Progress,2024-05-29,
TKT00067,ACC01588,CON004791,USR0133,Performance,Low,Open,2023-07-10,
TKT00068,ACC00172,CON000514,USR0142,Feature Request,Low,In Progress,2024-11-22,
TKT00069,ACC04079,CON012266,USR0048,Performance,Low,In Progress,2024-08-06,
TKT00070,ACC04058,CON012206,USR0189,Feature Request,High,Open,2024-09-26,
TKT00071,ACC04259,CON012791,USR0165,Installation,High,In Progress,2023-09-25,
TKT00072,ACC01448,CON004363,USR0101,Software Bug,High,Resolved,2023-09-02,2023-09-09
TKT00073,ACC03297,CON009913,USR0165,Configuration,Low,Resolved,2024-04-13,2024-04-28
TKT00074,ACC02816,CON008436,USR0048,Performance,Low,Closed,2023-01-10,2023-01-20
TKT00075,ACC04229,CON012706,USR0033,Performance,High,In Progress,2023-03-17,
TKT00076,ACC01568,CON004737,USR0033,Login Issue,Medium,Resolved,2023-05-16,2023-05-31
TKT00077,ACC01003,CON003027,USR0165,Feature Request,High,Resolved,2024-01-14,2024-01-17
TKT00078,ACC00013,CON000030,USR0188,Installation,High,Open,2024-09-18,
TKT00079,ACC01923,CON005736,USR0180,Software Bug,High,Open,2024-11-10,
TKT00080,ACC04826,CON014483,USR0133,Installation,Medium,Open,2023-04-29,
TKT00081,ACC01982,CON005920,USR0061,Software Bug,High,Resolved,2023-10-06,2023-10-16
TKT00082,ACC03149,CON009449,USR0180,Feature Request,High,Resolved,2023-07-28,2023-08-06
TKT00083,ACC00195,CON000583,USR0179,Installation,Critical,Open,2023-02-22,
TKT00084,ACC03909,CON011765,USR0133,Login Issue,High,Open,2023-10-11,
TKT00085,ACC04788,CON014376,USR0033,Installation,Critical,Resolved,2023-05-14,2023-05-17
TKT00086,ACC00529,CON001577,USR0101,Login Issue,Low,Closed,2024-07-18,2024-07-27
TKT00087,ACC03923,CON011804,USR0029,Performance,Low,In Progress,2023-03-19,
TKT00088,ACC03585,CON010777,USR0142,Feature Request,Medium,In Progress,2024-01-14,
TKT00089,ACC02534,CON007589,USR0189,Configuration,Low,Resolved,2023-02-12,2023-02-18
TKT00090,ACC02283,CON006842,USR0033,Installation,Medium,In Progress,2024-01-02,
TKT00091,ACC01507,CON004563,USR0180,Billing,Critical,Open,2024-11-13,
TKT00092,ACC02307,CON006909,USR0142,Software Bug,Medium,In Progress,2024-09-27,
TKT00093,ACC04582,CON013738,USR0165,Software Bug,High,Closed,2023-07-01,2023-07-02
TKT00094,ACC04257,CON012782,USR0142,Billing,Medium,In Progress,2024-02-26,
TKT00095,ACC02825,CON008464,USR0133,Login Issue,Critical,Closed,2023-04-21,2023-05-05
